concepte,any,municipi,renda familiar disponible bruta,renda familiar disponible bruta,renda familiar disponible bruta
indicador,,,per habitant (índex Catalunya=100),per habitant (€),valor (milers €)
444,2002.0,Navàs,90.1,11700.0,65764.0
445,2002.0,Olesa de Montserrat,86.1,11200.0,214230.0
446,2002.0,Olot,114.1,14800.0,433448.0
447,2002.0,Palafolls,78.7,10200.0,63137.0
448,2002.0,Palafrugell,94.8,12300.0,238883.0
449,2002.0,Palamós,100.8,13100.0,207176.0
450,2002.0,Palau-solità i Plegamans,99.4,12900.0,151924.0
451,2002.0,Pallejà,104.8,13600.0,113978.0
452,2002.0,Parets del Vallès,87.7,11400.0,177080.0
453,2002.0,Piera,77.9,10100.0,106673.0
454,2002.0,Pineda de Mar,77.3,10000.0,225117.0
